stop_id,stop_name,stop_desc,stop_lat,stop_lon
2443,Rue Duthoit,RUE DUTHOIT 62310 RADINGHEM,50.629282,2.898317
6953,Securite Sociale,SECURITE SOCIALE 59280 ARMENTIERES,50.682014,2.880796
6989,Cat,CAT 59280 ARMENTIERES,50.691116,2.889367
147,Deffontaines,DEFFONTAINE 59780 BAISIEUX,50.609797,3.22945
6877,Petit Bondues,PETIT BONDUES 59910 BONDUES,50.718772,3.082087
5173,Voie227,VOIE227 59910 BONDUES,50.71731,3.073151
219,Chateau D'Eau,CHATEAU D'EAU 59910 BONDUES,50.720655,3.109964
254,Gravier De Lille,GRAVIER DE LILLE 59560 COMINES,50.736673,3.015192
7017,Mairie De Croix,MAIRIE DE CROIX 59170 CROIX,50.679588,3.156608
5974,Fin De La Guerre,FIN DE LA GUERRE 59320 ESCOBECQUES,50.619082,2.9385
7764,Tilmant,TILMANT CLE_COMMUNE: 22,50.607911,3.059558
399,Le Fort,LE FORT 59320 HALLENNES LEZ HAUBOURDIN,50.613145,2.956376
5672,Mirabeau,MIRABEAU 59496 HANTAY,50.535763,2.873663
7007,Blanchisserie,BLANCHISSERIE 59320 HAUBOURDIN,50.59161,2.982012
462,La Pepiniere,LA PEPINIERE 59320 HAUBOURDIN,50.611251,2.969154
486,Innovation,INNOVATION 59260 HELLEMMES LILLE,50.62531,3.103371
516,Lionderie,LIONDERIE 59510 HEM,50.658945,3.194201
522,Voisinage,VOISINAGE 59510 HEM,50.644534,3.19363
5619,Eglise St Joseph,EGLISE SAINT JOSEPH 59510 HEM,50.663559,3.188494
